topic_id,top_words,label
0,"drone, missile, military, air, ukraine, russia, target, war, defense, iran, force, strike, time, trump, money",Military & Defense
1,"trump, vote, election, bad, time, party, american, leader, voter, tax, win, government, war, political, president",Politics & Government
2,"russia, ukraine, war, russian, trump, putin, nato, military, europe, fight, time, ukrainian, force, china, peace",International Affairs
3,"time, media, government, social, trump, day, population, protest, city, month, ban, public, news, money, propaganda",Social Media & Public Opinion
4,"nuclear, trump, weapon, usa, war, president, time, ukraine, russia, bomb, biden, watch, money, iran, epstein",Nuclear & Security Affairs
5,"israel, hamas, gaza, war, palestinians, kill, palestinian, government, hostage, west, land, nazi, civilian, citizen, time",Global Issues
6,"government, power, trump, tariff, iran, china, party, money, trade, time, war, law, nation, regime, russia",Regional Conflicts
7,"attack, kill, civilian, child, law, terrorist, war, israel, lie, military, trump, drug, international, time, government",Security & Terrorism
8,"oil, company, price, cost, market, car, russia, china, time, increase, product, production, energy, tariff, industry",Energy & Commodities
9,"china, canada, america, american, india, time, trump, canadian, americans, russia, government, europe, war, taiwan, european",Diplomacy & Relations
