week,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
12/30/2024,55,58,156,68,39,69,55,61,77,72
1/6/2025,109,238,267,139,115,119,124,134,121,148
1/13/2025,103,153,340,97,76,128,115,108,94,128
1/20/2025,129,222,264,149,96,162,157,142,155,192
1/27/2025,128,214,266,146,86,173,180,125,169,214
2/3/2025,94,288,236,171,82,169,209,123,173,233
2/10/2025,120,273,455,171,100,173,163,122,151,242
2/17/2025,145,374,584,169,148,177,196,146,117,240
2/24/2025,151,417,524,195,172,140,223,152,159,249
3/3/2025,188,518,687,266,194,130,327,171,237,415
3/10/2025,173,405,507,228,184,123,276,160,227,392
3/17/2025,153,360,411,188,142,181,214,178,183,331
3/24/2025,132,348,358,188,110,139,207,185,180,281
3/31/2025,145,283,249,165,112,127,244,151,177,261
4/7/2025,116,261,245,149,73,93,295,116,232,240
4/14/2025,109,271,263,132,106,109,189,92,126,214
4/21/2025,98,270,364,119,79,139,148,131,104,197
4/28/2025,123,280,347,145,110,115,174,120,114,216
5/5/2025,167,213,371,155,108,146,163,180,151,253
5/12/2025,119,169,344,144,92,162,142,132,117,162
5/19/2025,113,179,365,122,89,185,158,165,98,184
5/26/2025,119,154,293,129,73,153,136,137,83,153
6/2/2025,177,161,338,128,67,124,130,140,124,181
6/9/2025,213,168,282,149,79,172,146,147,119,165
6/16/2025,291,214,383,174,186,220,296,213,181,225
6/23/2025,230,192,322,199,191,183,229,210,165,227
6/30/2025,138,156,314,127,94,153,116,108,118,147
7/7/2025,122,155,225,106,87,133,117,115,119,140
7/14/2025,91,135,217,104,77,137,117,113,86,141
7/21/2025,90,128,135,108,70,201,85,118,92,132
7/28/2025,82,126,209,122,86,192,126,91,116,153
8/4/2025,95,157,293,117,58,153,111,107,121,175
8/11/2025,80,151,391,104,81,141,94,114,85,138
8/18/2025,120,158,351,121,102,135,111,114,98,159
8/25/2025,83,126,263,86,65,132,82,112,115,131
9/1/2025,133,127,244,115,70,99,95,93,103,162
9/8/2025,98,130,282,124,85,155,99,130,91,153
9/15/2025,109,151,219,99,69,136,94,108,67,147
9/22/2025,118,124,277,104,76,129,89,127,101,129
9/29/2025,137,114,238,126,76,160,89,121,124,138
10/6/2025,108,149,226,99,79,150,97,99,106,132
10/13/2025,125,127,245,89,68,219,124,113,109,145
10/20/2025,91,120,189,93,52,97,89,81,118,127
10/27/2025,115,128,234,108,70,95,111,94,121,133
11/3/2025,121,90,160,120,62,86,87,98,140,128
11/10/2025,116,117,178,117,58,96,100,129,113,114
11/17/2025,110,139,299,111,76,73,105,95,91,133
11/24/2025,96,159,301,122,69,93,103,112,109,139
12/1/2025,102,134,301,109,79,77,97,89,107,173
12/8/2025,125,162,287,123,78,80,94,121,83,156
12/15/2025,97,123,318,120,66,83,111,132,110,151
12/22/2025,87,103,248,85,59,71,79,104,100,123
12/29/2025,136,192,315,142,100,79,134,114,126,157
1/5/2026,142,277,392,155,116,96,243,127,148,230
1/12/2026,194,277,414,172,149,118,262,135,165,268
1/19/2026,150,337,371,208,124,105,219,150,137,293
1/26/2026,101,159,215,157,83,109,192,129,126,229
2/2/2026,99,149,174,94,83,73,125,92,110,147
2/9/2026,133,148,163,115,72,87,138,102,115,154
2/16/2026,117,137,179,107,67,84,157,88,101,150
2/23/2026,74,89,112,48,43,47,99,76,46,79
